startTime,endTime,value
2023-10-17 00:30:00-04:00,2023-10-17 00:45:00-04:00,0.037
2023-10-17 00:45:00-04:00,2023-10-17 01:00:00-04:00,0.026
2023-10-17 01:00:00-04:00,2023-10-17 01:15:00-04:00,0.039
2023-10-17 01:15:00-04:00,2023-10-17 01:30:00-04:00,0.026
2023-10-17 01:30:00-04:00,2023-10-17 01:45:00-04:00,0.036
2023-10-17 01:45:00-04:00,2023-10-17 02:00:00-04:00,0.0295
2023-10-17 02:00:00-04:00,2023-10-17 02:15:00-04:00,0.031
2023-10-17 02:15:00-04:00,2023-10-17 02:30:00-04:00,0.0355
2023-10-17 02:30:00-04:00,2023-10-17 02:45:00-04:00,0.0255
2023-10-17 02:45:00-04:00,2023-10-17 03:00:00-04:00,0.0385
2023-10-17 03:00:00-04:00,2023-10-17 03:15:00-04:00,0.026
2023-10-17 03:15:00-04:00,2023-10-17 03:30:00-04:00,0.0355
2023-10-17 03:30:00-04:00,2023-10-17 03:45:00-04:00,0.0315
2023-10-17 03:45:00-04:00,2023-10-17 04:00:00-04:00,0.062
2023-10-17 04:00:00-04:00,2023-10-17 04:15:00-04:00,0.045
2023-10-17 04:15:00-04:00,2023-10-17 04:30:00-04:00,0.0385
2023-10-17 04:30:00-04:00,2023-10-17 04:45:00-04:00,0.04
2023-10-17 04:45:00-04:00,2023-10-17 05:00:00-04:00,0.0395
2023-10-17 05:00:00-04:00,2023-10-17 05:15:00-04:00,0.031
2023-10-17 05:15:00-04:00,2023-10-17 05:30:00-04:00,0.0325
2023-10-17 05:30:00-04:00,2023-10-17 05:45:00-04:00,0.035
2023-10-17 05:45:00-04:00,2023-10-17 06:00:00-04:00,0.028
2023-10-17 06:00:00-04:00,2023-10-17 06:15:00-04:00,0.0375
2023-10-17 06:15:00-04:00,2023-10-17 06:30:00-04:00,0.0255
2023-10-17 06:30:00-04:00,2023-10-17 06:45:00-04:00,0.034
2023-10-17 06:45:00-04:00,2023-10-17 07:00:00-04:00,0.0295
2023-10-17 07:00:00-04:00,2023-10-17 07:15:00-04:00,0.0415
2023-10-17 07:15:00-04:00,2023-10-17 07:30:00-04:00,0.0265
2023-10-17 07:30:00-04:00,2023-10-17 07:45:00-04:00,0.0385
2023-10-17 07:45:00-04:00,2023-10-17 08:00:00-04:00,0.027
2023-10-17 08:00:00-04:00,2023-10-17 08:15:00-04:00,0.0365
2023-10-17 08:15:00-04:00,2023-10-17 08:30:00-04:00,0.045
2023-10-17 08:30:00-04:00,2023-10-17 08:45:00-04:00,0.2545
2023-10-17 08:45:00-04:00,2023-10-17 09:00:00-04:00,0.509
2023-10-17 09:00:00-04:00,2023-10-17 09:15:00-04:00,0.3735
2023-10-17 09:15:00-04:00,2023-10-17 09:30:00-04:00,0.334
2023-10-17 09:30:00-04:00,2023-10-17 09:45:00-04:00,0.315
2023-10-17 09:45:00-04:00,2023-10-17 10:00:00-04:00,0.329
2023-10-17 10:00:00-04:00,2023-10-17 10:15:00-04:00,0.4395
2023-10-17 10:15:00-04:00,2023-10-17 10:30:00-04:00,0.3325
2023-10-17 10:30:00-04:00,2023-10-17 10:45:00-04:00,0.2755
2023-10-17 10:45:00-04:00,2023-10-17 11:00:00-04:00,0.242
2023-10-17 11:00:00-04:00,2023-10-17 11:15:00-04:00,0.27
2023-10-17 11:15:00-04:00,2023-10-17 11:30:00-04:00,0.1675
2023-10-17 11:30:00-04:00,2023-10-17 11:45:00-04:00,0.184
2023-10-17 11:45:00-04:00,2023-10-17 12:00:00-04:00,0.287
2023-10-17 12:00:00-04:00,2023-10-17 12:15:00-04:00,0.371
2023-10-17 12:15:00-04:00,2023-10-17 12:30:00-04:00,0.272
2023-10-17 12:30:00-04:00,2023-10-17 12:45:00-04:00,0.207
2023-10-17 12:45:00-04:00,2023-10-17 13:00:00-04:00,0.2455
2023-10-17 13:00:00-04:00,2023-10-17 13:15:00-04:00,0.2365
2023-10-17 13:15:00-04:00,2023-10-17 13:30:00-04:00,0.2155
2023-10-17 13:30:00-04:00,2023-10-17 13:45:00-04:00,0.3255
2023-10-17 13:45:00-04:00,2023-10-17 14:00:00-04:00,0.3035
2023-10-17 14:00:00-04:00,2023-10-17 14:15:00-04:00,0.2525
2023-10-17 14:15:00-04:00,2023-10-17 14:30:00-04:00,0.2905
2023-10-17 14:30:00-04:00,2023-10-17 14:45:00-04:00,0.304
2023-10-17 14:45:00-04:00,2023-10-17 15:00:00-04:00,0.304
2023-10-17 15:00:00-04:00,2023-10-17 15:15:00-04:00,0.3965
2023-10-17 15:15:00-04:00,2023-10-17 15:30:00-04:00,0.2725
2023-10-17 15:30:00-04:00,2023-10-17 15:45:00-04:00,0.204
2023-10-17 15:45:00-04:00,2023-10-17 16:00:00-04:00,0.2645
2023-10-17 16:00:00-04:00,2023-10-17 16:15:00-04:00,0.155
2023-10-17 16:15:00-04:00,2023-10-17 16:30:00-04:00,0.197
2023-10-17 16:30:00-04:00,2023-10-17 16:45:00-04:00,0.0395
2023-10-17 16:45:00-04:00,2023-10-17 17:00:00-04:00,0.043
2023-10-17 17:00:00-04:00,2023-10-17 17:15:00-04:00,0.032
2023-10-17 17:15:00-04:00,2023-10-17 17:30:00-04:00,0.033
2023-10-17 17:30:00-04:00,2023-10-17 17:45:00-04:00,0.0335
2023-10-17 17:45:00-04:00,2023-10-17 18:00:00-04:00,0.032
2023-10-17 18:00:00-04:00,2023-10-17 18:15:00-04:00,0.0255
2023-10-17 18:15:00-04:00,2023-10-17 18:30:00-04:00,0.039
2023-10-17 18:30:00-04:00,2023-10-17 18:45:00-04:00,0.337
2023-10-17 18:45:00-04:00,2023-10-17 19:00:00-04:00,0.312
2023-10-17 19:00:00-04:00,2023-10-17 19:15:00-04:00,0.266
2023-10-17 19:15:00-04:00,2023-10-17 19:30:00-04:00,0.263
2023-10-17 19:30:00-04:00,2023-10-17 19:45:00-04:00,0.233
2023-10-17 19:45:00-04:00,2023-10-17 20:00:00-04:00,0.251
2023-10-17 20:00:00-04:00,2023-10-17 20:15:00-04:00,0.325
2023-10-17 20:15:00-04:00,2023-10-17 20:30:00-04:00,0.313
2023-10-17 20:30:00-04:00,2023-10-17 20:45:00-04:00,0.317
2023-10-17 20:45:00-04:00,2023-10-17 21:00:00-04:00,0.409
2023-10-17 21:00:00-04:00,2023-10-17 21:15:00-04:00,0.361
2023-10-17 21:15:00-04:00,2023-10-17 21:30:00-04:00,0.3315
2023-10-17 21:30:00-04:00,2023-10-17 21:45:00-04:00,0.279
2023-10-17 21:45:00-04:00,2023-10-17 22:00:00-04:00,0.3255
2023-10-17 22:00:00-04:00,2023-10-17 22:15:00-04:00,0.286
2023-10-17 22:15:00-04:00,2023-10-17 22:30:00-04:00,0.327
2023-10-17 22:45:00-04:00,2023-10-17 23:00:00-04:00,0.242
